iter	Passed	Remaining
0	1	182
1	3	163
2	4	153
3	5	142
4	7	140
5	8	137
6	10	135
7	11	137
8	13	140
9	15	138
10	16	135
11	18	133
12	19	132
13	21	130
14	22	128
15	24	126
16	25	125
17	28	127
18	29	125
19	31	124
20	32	122
21	33	119
22	35	117
23	36	115
24	37	113
25	39	111
26	40	110
27	43	111
28	45	111
29	47	110
30	49	110
31	51	109
32	53	108
33	56	110
34	58	108
35	59	105
36	60	103
37	62	101
38	63	99
39	65	97
40	66	95
41	66	92
42	68	90
43	70	89
44	71	87
45	72	85
46	74	83
47	75	82
48	77	80
49	78	78
50	79	76
51	80	74
52	82	73
53	84	71
54	85	69
55	86	68
56	88	66
57	89	65
58	91	63
59	92	61
60	93	60
61	95	58
62	96	56
63	97	55
64	99	53
65	100	51
66	101	49
67	102	48
68	103	46
69	104	44
70	105	42
71	106	41
72	107	39
73	108	38
74	109	36
75	109	34
76	110	33
77	111	31
78	112	30
79	113	28
80	114	26
81	115	25
82	116	23
83	116	22
84	117	20
85	118	19
86	119	17
87	119	16
88	120	14
89	121	13
90	121	12
91	122	10
92	123	9
93	123	7
94	124	6
95	125	5
96	125	3
97	126	2
98	127	1
99	128	0
