iter	Passed	Remaining
0	98	98775
1	99	49898
2	101	33602
3	102	25460
4	106	21195
5	108	18048
6	110	15640
7	111	13792
8	112	12366
9	113	11218
10	114	10259
11	114	9466
12	116	8823
13	117	8302
14	119	7850
15	120	7432
16	121	7053
17	123	6714
18	124	6414
19	125	6146
20	129	6017
21	130	5822
22	132	5627
23	133	5439
24	135	5265
25	136	5109
26	137	4952
27	138	4808
28	143	4795
29	144	4681
30	145	4561
31	147	4451
32	148	4342
33	149	4236
34	149	4132
35	150	4034
36	151	3943
37	152	3868
38	153	3792
39	157	3770
40	158	3712
41	159	3643
42	160	3579
43	162	3528
44	163	3469
45	164	3416
46	165	3358
47	166	3300
48	167	3247
49	172	3281
50	173	3236
51	174	3186
52	175	3140
53	176	3100
54	177	3056
55	178	3013
56	179	2974
57	180	2936
58	181	2898
59	186	2929
60	189	2919
61	190	2884
62	191	2849
63	192	2815
64	193	2781
65	194	2753
66	195	2723
67	196	2692
68	198	2684
69	202	2693
70	203	2668
71	204	2639
72	206	2620
73	207	2595
74	208	2569
75	209	2544
76	210	2520
77	211	2496
78	217	2532
79	218	2516
80	219	2494
81	220	2471
82	221	2443
83	222	2421
84	222	2399
85	223	2379
86	225	2363
87	226	2343
88	227	2323
89	230	2332
90	232	2327
91	234	2311
92	235	2295
93	236	2278
94	237	2261
95	238	2245
96	239	2228
97	240	2211
98	241	2194
99	244	2204
100	246	2194
101	247	2180
102	248	2163
103	249	2148
104	250	2133
105	251	2118
106	252	2103
107	252	2087
108	253	2073
109	254	2058
110	255	2044
111	256	2030
112	259	2040
113	261	2033
114	262	2021
115	263	2008
116	264	1994
117	265	1980
118	265	1967
119	266	1955
120	267	1942
121	268	1929
122	269	1918
123	269	1907
124	270	1896
125	271	1884
126	275	1892
127	277	1892
128	279	1883
129	279	1873
130	280	1861
131	281	1850
132	282	1839
133	282	1828
134	283	1818
135	284	1808
136	285	1797
137	286	1787
138	290	1799
139	292	1794
140	292	1784
141	293	1772
142	294	1763
143	295	1754
144	296	1746
145	297	1737
